Society,City/Site,Region,Polity,Year,Latitude,Longitude,Income Gini,Wealth Gini,Sources
,,,Ghana,1900,8.03,-1.08,0.36,,Aboagye & Bolt (2018)
,,,Ghana,1910,8.03,-1.08,0.38,,Aboagye & Bolt (2018)
,,,Ghana,1920,8.03,-1.08,0.45,,Aboagye & Bolt (2018)
,,,Ghana,1930,8.03,-1.08,0.48,,Aboagye & Bolt (2018)
,,,Ghana,1940,8.03,-1.08,0.5,,Aboagye & Bolt (2018)
,,,Argentina,1870,-38.41,-63.62,0.65,,Astorga-Junqueira (2017)
,,,Argentina,1930,-38.41,-63.62,0.63,,Astorga-Junqueira (2017)
,,,Brazil,1900,-14.24,-51.93,0.57,,Bertola et al. (2010)
,,,Uruguay,1900,-32.52,-55.77,0.55,,Bertola et al. (2010)
,,,Brazil,1940,-14.24,-51.93,0.63,,Bertola et al. (2010)
,,,Uruguay,1940,-32.52,-55.77,0.51,,Bertola et al. (2010)
,,,Kenya,1910,-0.02,37.9,0.63,,Bigsten (1986)
,,,Kenya,1910,-0.02,37.9,0.52,,Bigsten (1986)
,,,Kenya,1920,-0.02,37.9,0.6,,Bigsten (1986)
,,,Kenya,1930,-0.02,37.9,0.66,,Bigsten (1986)
,,,Kenya,1940,-0.02,37.9,0.7,,Bigsten (1986)
,,,Botswana,1900,-22.33,24.68,0.36,,Bolt & Hillbom (2016)
,,,Botswana,1910,-22.33,24.68,0.35,,Bolt & Hillbom (2016)
,,,Botswana,1920,-22.33,24.68,0.31,,Bolt & Hillbom (2016)
,,,Botswana,1930,-22.33,24.68,0.29,,Bolt & Hillbom (2016)
,,,Botswana,1940,-22.33,24.68,0.35,,Bolt & Hillbom (2016)
,,,Jamaica,1830,18.11,-77.3,0.55,,Burnard et al. (2019)
,,,Mexico,1900,23.63,-102.55,0.49,,Castaneda-Garza & Bengtsson (2020)
,,,Mexico,1920,23.63,-102.55,0.55,,Castaneda-Garza & Bengtsson (2020)
,,,Mexico,1940,23.63,-102.55,0.57,,Castaneda-Garza & Bengtsson (2020)
,,,Mexico,1950,23.63,-102.55,0.58,,Castaneda-Garza & Bengtsson (2020)
,,,Badari Early Dynastic,-3700,29.59,31.25,,0.38,"Castillos 1998, https://www.egyptologyforum.org/bbs/uruguay/Castillos,_Inequality_in_Egyptian_predynastic_cemeteries,_1998.pdf"
,,,Maadi Early Dynastic,-3100,29.58,31.15,,0.5,"Castillos 1998, https://www.egyptologyforum.org/bbs/uruguay/Castillos,_Inequality_in_Egyptian_predynastic_cemeteries,_1998.pdf"
,,,Abydos Early Dynastic,-2900,28.11,31.55,,0.77,"Castillos 1998, https://www.egyptologyforum.org/bbs/uruguay/Castillos,_Inequality_in_Egyptian_predynastic_cemeteries,_1998.pdf"
